#OTU ID	CJ1_B_Fr	CJ1_S_Fr	LG1_B_Fr	LG1_S_Fr	LG2_B_Fr	LG2_S_Fr	SY1_B_Fr	SY1_S_Fr	SY2_B_Fr	SY2_S_Fr	WC1_B_Fr	WC1_S_Fr	WC2_B_Fr	WC2_S_Fr	W18_Fr	W19_Fr	W20_Fr	W21_Fr	W22_Fr	W23_Fr	W24_Fr	W25_Fr	W26_Fr	W27_Fr	W28_Fr	W29_Fr	W30_Fr	W31_Fr	W32_Fr	W33_Fr	W34_Fr	W35_Fr	W36_Fr	W37_Fr	W38_Fr	W39_Fr	W40_Fr	W41_Fr	W42_Fr	W43_Fr	W44_Fr	W45_Fr
DJ_BAC_ASV_278	0	0	39	0	177	350	38	33	32	61	173	241	549	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_38	16	0	0	7	2	7	0	2	1	0	7	0	3	11	27	25	39	45	65	41	70	123	91	88	98	40	85	68	133	94	65	82	61	90	142	63	64	115	147	109	184	78
DJ_BAC_ASV_58	35	16	156	41	19	16	161	168	436	182	11	9	8	5	105	61	68	25	37	26	52	121	18	54	71	13	13	6	10	16	8	16	4	30	10	6	9	11	78	28	19	75
DJ_BAC_ASV_75	0	53	0	26	0	0	0	0	0	8	0	0	0	0	31	22	18	12	67	23	42	33	60	39	34	120	43	181	102	42	274	170	244	62	68	119	56	47	49	30	56	52
DJ_BAC_ASV_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	12	5	18	1	9	9	8	7	16	2	17	13	23	7	65	72	101	150	326	84	440	82	88	275	286	18
DJ_BAC_ASV_63	0	0	101	38	95	71	90	142	82	99	76	87	62	80	130	94	93	109	29	67	56	59	0	48	49	40	0	0	0	41	0	0	0	0	23	0	0	0	87	42	77	67
DJ_BAC_ASV_62	56	62	48	54	43	26	73	60	89	72	54	37	69	67	94	50	127	110	42	63	55	122	21	76	30	18	19	15	33	52	25	38	32	34	44	21	15	33	50	28	27	41
DJ_BAC_ASV_77	17	2	68	26	38	26	58	36	91	92	35	25	47	25	85	38	128	58	60	41	98	196	24	148	37	5	6	11	54	95	14	18	16	34	24	13	43	107	80	38	16	51
DJ_BAC_ASV_200	30	18	154	46	114	84	237	209	316	286	70	52	76	82	35	21	46	29	20	24	31	42	2	19	12	0	0	0	5	4	0	4	7	0	5	2	5	9	7	4	3	10
DJ_BAC_ASV_238	209	342	118	299	36	38	113	118	81	85	44	46	0	0	37	29	61	12	13	80	65	42	0	46	0	0	0	0	36	65	0	0	0	0	0	0	22	56	0	0	0	0
HHN_BAC_ASV_67	409	325	114	468	65	82	102	77	70	87	148	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_276	16	12	100	43	214	134	70	212	237	165	147	133	166	221	22	22	41	13	11	6	31	32	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
DJ_BAC_ASV_92	0	149	0	479	0	6	0	0	0	18	0	0	0	6	0	0	0	6	0	0	15	0	16	0	204	18	32	25	27	11	97	63	96	54	97	34	108	68	89	140	106	104
DJ_BAC_ASV_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	30	18	37	15	53	71	40	65	207	72	98	87	35	267	163	308	28	65	144	31	23	49	44	47	35
DJ_BAC_ASV_37	116	78	0	58	0	0	0	0	0	0	0	0	0	0	63	96	50	124	66	89	146	49	119	37	69	43	25	18	21	0	21	59	68	340	40	39	41	47	21	32	30	38
DJ_BAC_ASV_568	45	25	20	26	273	166	54	28	29	51	210	150	313	261	5	0	7	6	16	5	17	18	0	12	3	0	4	7	4	3	0	6	9	9	18	5	15	51	119	29	4	2
DJ_BAC_ASV_226	42	30	110	62	56	37	136	116	85	157	63	72	119	77	28	16	99	42	24	53	135	194	0	112	19	7	0	0	32	14	20	0	0	0	22	0	0	0	18	0	25	0
DJ_BAC_ASV_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	17	38	0	24	0	16	26	0	27	24	0	45	39	89	47	160	90	204	315	684	65
DJ_BAC_ASV_152	71	119	124	137	41	42	158	125	165	146	30	29	40	42	37	25	29	15	24	44	53	79	19	43	18	14	11	16	32	34	14	23	13	0	0	12	7	23	25	8	17	23
DJ_BAC_ASV_778	101	159	67	167	107	136	177	84	97	96	98	103	130	150	0	0	0	0	20	37	39	75	0	22	0	0	0	0	0	0	0	0	0	17	21	0	0	0	0	0	0	0
DJ_BAC_ASV_59	0	29	0	1	0	0	0	0	0	0	0	0	0	0	12	1	11	12	195	26	68	38	133	61	123	37	35	45	53	27	48	63	102	33	91	302	52	47	56	49	39	72
DJ_BAC_ASV_66	15	19	92	29	4	13	80	69	103	89	5	0	0	0	123	31	115	74	37	28	48	110	39	45	63	15	27	15	26	20	30	33	25	61	40	17	30	46	47	55	53	71
DJ_BAC_ASV_69	21	5	60	20	54	27	78	46	91	56	43	26	45	49	128	44	152	81	38	40	57	144	7	59	68	4	7	8	13	26	7	8	6	14	11	5	13	30	86	26	25	70
DJ_BAC_ASV_1312	13	25	17	23	217	150	31	16	19	19	208	111	504	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_43	0	11	77	18	8	0	22	98	136	82	0	10	0	0	176	145	154	111	20	22	49	67	15	45	63	17	14	6	4	23	10	25	11	17	16	9	10	20	108	36	46	50
DJ_BAC_ASV_202	0	0	0	0	35	19	0	10	7	0	39	16	121	76	59	61	183	72	36	25	71	152	41	78	8	0	19	29	26	32	18	43	19	41	0	25	49	260	15	29	13	24
DJ_BAC_ASV_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	323	138	168	80	76	135	64	53	55	62	62	46	66	0	33	0	0	38	0	0	37	32	0	0	0	64	33
DJ_BAC_ASV_187	24	21	119	36	83	64	110	97	251	114	93	90	60	48	19	12	34	10	60	54	84	89	3	52	5	3	3	11	11	8	8	6	0	0	2	0	8	12	16	4	0	4
DJ_BAC_ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	120	109	111	58	25	16	17	0	85	403	248	105	168	48	22	50	12	8	7	0	0	8	22	28
DJ_BAC_ASV_32	26	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	89	83	62	101	179	105	94	20	51	63	73	140	82	130	23	41	53	27	85	0	0	36	94	26
DJ_BAC_ASV_31	0	18	56	22	34	128	40	13	0	32	32	49	0	0	35	24	0	32	268	36	66	60	26	23	25	0	21	314	108	42	56	28	0	0	0	0	0	0	0	0	26	27
DJ_BAC_ASV_189	318	243	44	91	57	14	30	33	0	22	125	14	47	25	13	9	6	5	6	11	12	14	23	18	33	12	5	8	10	8	42	35	17	16	35	26	28	24	11	22	25	32
DJ_BAC_ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	114	165	129	43	56	66	61	39	91	65	0	0	0	0	39	0	31	0	0	35	0	0	30	122	54	112	73
DJ_BAC_ASV_225	181	111	99	44	44	46	37	9	86	22	75	20	78	43	0	4	8	7	10	7	19	12	11	12	17	5	16	8	12	11	47	27	32	26	49	41	67	20	13	35	76	37
DJ_BAC_ASV_1653	23	0	57	16	315	307	41	34	108	54	232	231	47	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_101	0	0	0	0	0	0	0	0	0	0	0	14	0	4	17	16	14	8	15	20	13	22	26	25	22	11	26	24	44	78	31	126	165	139	88	180	52	56	38	66	83	85
DJ_BAC_ASV_57	259	32	57	106	0	25	0	0	22	0	29	31	0	0	0	7	12	6	0	13	10	7	43	22	94	8	11	5	18	19	6	22	20	14	55	73	67	46	112	64	46	111
DJ_BAC_ASV_1708	26	10	33	5	141	116	48	40	70	58	94	82	356	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_1440	419	226	245	248	15	14	56	13	40	32	27	11	34	31	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DJ_BAC_ASV_164	12	0	0	0	0	0	3	0	0	0	0	0	0	0	10	16	9	8	131	31	239	39	116	39	196	22	61	21	29	34	45	50	32	22	29	26	33	36	20	23	33	11
DJ_BAC_ASV_605	39	5	0	9	0	351	2	0	3	0	0	658	0	93	0	0	0	3	0	0	0	8	6	0	13	0	0	0	20	7	0	6	0	14	20	9	18	19	22	16	11	19
DJ_BAC_ASV_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	3	1	3	6	5	6	4	1	13	3	3	8	13	15	39	31	398	47	291	30	36	341	37	26
DJ_BAC_ASV_132	0	0	86	42	111	111	60	136	82	100	87	107	0	21	48	31	59	53	0	21	28	19	0	24	22	0	0	0	0	19	0	0	0	0	0	0	0	0	33	0	34	25
DJ_BAC_ASV_4059	17	7	12	10	89	72	11	6	11	18	84	51	525	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	11	9	43	48	23	24	116	80	76	27	77	78	111	137	112	79	69	21	27	27	16	5	7	42	31	15
DJ_BAC_ASV_361	138	411	90	411	29	21	17	12	28	21	44	73	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	5	9	438	0	10	9	392	228	36	0	3	5	4	0	5	2	8	2	4	4	2	7	7	9	6	2
DJ_BAC_ASV_18	292	90	31	195	10	0	0	0	3	0	47	5	0	0	10	65	16	22	14	15	48	24	22	12	49	11	8	8	10	12	11	21	13	37	18	13	15	9	10	8	9	11
DJ_BAC_ASV_97	30	0	0	0	0	4	0	0	18	0	0	7	0	0	4	3	0	6	58	33	51	43	58	40	31	12	32	72	56	63	23	34	25	46	48	28	52	65	47	60	54	85
HHN_BAC_ASV_62	0	0	92	40	78	119	124	181	97	98	87	143	47	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_88	17	6	79	12	8	4	64	68	156	83	3	3	3	12	69	52	67	36	31	21	27	41	24	48	51	5	8	11	10	6	6	14	7	9	7	11	10	10	32	9	17	28
DJ_BAC_ASV_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	14	39	0	15	43	22	33	538	171	34	13	28	80	57	14	0	0	6	0	0	0	16
DJ_BAC_ASV_112	0	0	73	0	56	50	54	95	63	75	32	55	33	43	68	34	68	48	0	19	31	34	0	52	18	0	0	0	0	21	0	0	0	0	0	0	0	0	43	33	44	21
DJ_BAC_ASV_307	0	0	0	0	49	28	10	0	5	19	44	24	38	30	10	5	5	6	11	10	12	29	2	12	5	1	4	4	24	23	11	13	5	14	65	20	65	164	294	42	9	6
DJ_BAC_ASV_111	0	51	0	4	0	2	0	5	2	4	0	0	0	0	0	11	0	0	15	26	11	28	66	67	35	57	73	72	53	41	70	55	55	42	45	43	36	23	18	20	44	34
DJ_BAC_ASV_222	0	0	62	14	147	96	65	93	64	67	77	135	33	56	41	19	34	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	16	23
DJ_BAC_ASV_448	33	6	106	16	95	73	52	56	141	97	65	56	42	59	15	6	13	7	11	7	14	39	2	13	8	1	5	6	0	5	8	7	0	7	3	2	3	1	0	4	5	5
DJ_BAC_ASV_135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	30	13	17	42	27	26	25	18	0	20	22	257	139	96	29	83	39	63	18	17	64	0	20
DJ_BAC_ASV_662	16	64	15	27	12	22	0	15	0	7	15	39	398	286	0	0	0	6	8	0	9	4	8	0	5	0	5	5	0	10	12	17	19	9	14	4	11	0	0	13	6	4
DJ_BAC_ASV_162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10	15	19	82	67	113	114	45	53	61	17	29	39	38	30	23	74	26	61	35	28	0	0	12	20	20	24
DJ_BAC_ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	77	146	67	0	41	46	39	0	65	50	0	0	0	0	34	0	29	0	16	0	0	0	0	123	43	70	58
DJ_BAC_ASV_185	25	75	106	52	9	13	84	65	94	79	14	8	5	0	55	39	37	15	6	8	12	18	8	12	22	6	5	6	6	6	10	14	10	16	21	7	13	3	12	20	11	18
DJ_BAC_ASV_493	22	23	36	21	102	88	82	52	97	77	76	45	61	53	0	0	24	0	30	10	18	37	0	33	0	0	0	0	7	11	0	8	0	0	13	0	0	10	7	0	0	0
DJ_BAC_ASV_144	0	9	81	51	39	46	46	46	51	66	59	53	17	38	34	35	39	40	0	19	16	0	20	37	19	0	0	0	0	21	0	0	0	0	0	0	0	0	28	32	35	42
DJ_BAC_ASV_694	14	12	22	12	53	49	24	22	19	17	37	29	197	136	18	7	132	44	10	10	8	14	5	11	0	11	4	6	10	6	8	8	13	7	0	6	7	2	2	2	16	5
DJ_BAC_ASV_102	0	0	35	0	0	0	36	40	61	37	0	0	0	0	89	51	60	32	29	18	37	66	16	33	22	8	15	18	18	22	16	22	6	27	17	11	19	19	50	26	25	25
DJ_BAC_ASV_188	0	0	0	0	0	0	0	0	0	0	13	0	0	0	12	10	0	6	13	4	12	16	0	14	0	0	31	21	15	28	48	69	67	20	109	23	254	17	17	116	31	30
DJ_BAC_ASV_257	234	82	195	99	10	14	66	49	30	55	40	15	0	0	4	0	0	4	2	0	4	8	0	9	0	0	0	1	6	4	1	0	0	0	4	0	7	41	9	1	0	0
DJ_BAC_ASV_215	102	378	34	219	13	17	38	25	34	35	20	25	18	14	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
DJ_BAC_ASV_206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	8	0	18	9	37	0	12	0	48	78	71	17	102	26	266	17	19	131	45	32
HHN_BAC_ASV_35	35	32	17	26	114	94	29	17	26	20	132	89	164	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
