#OTU ID	CJ1_B_At	CJ1_S_At	LG1_B_At	LG1_S_At	LG2_S_At	SY1_B_At	SY1_S_At	SY2_B_At	SY2_S_At	WC1_B_At	WC1_S_At	WC2_B_At	WC2_S_At	W18_A	W19_A	W20_A	W21_A	W22_A	W23_A	W24_A	W25_A	W26_A	W27_A	W28_A	W29_A	W30_A	W31_A	W32_A	W33_A	W34_A	W35_A	W36_A	W37_A	W38_A	W39_A	W40_A	W41_A	W42_A	W43_A	W44_A	W45_A
DJ_BAC_ASV_188	0	17	0	0	0	0	0	13	0	0	9	0	0	16	0	30	17	0	13	31	27	0	12	0	2	0	3	18	27	30	54	0	20	19	0	14	0	19	20	12	55
DJ_BAC_ASV_222	25	23	53	53	66	37	56	0	33	0	42	49	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_4826	0	21	15	11	12	0	0	11	15	137	97	37	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_4157	150	54	0	0	6	0	0	69	49	68	30	7	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_4657	21	23	33	47	49	18	0	41	17	22	57	53	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_262	0	0	14	0	0	0	7	7	0	0	0	0	0	12	9	23	0	24	0	16	22	13	9	12	0	0	0	78	16	53	16	14	20	0	0	17	16	7	27	0	21
DJ_BAC_ASV_115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	74	40	0	24	70	72	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0
DJ_BAC_ASV_471	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	12	15	23	9	10	0	0	7	16	48	15	54	20	44	36	33	0	10	14	50	10
HHN_BAC_ASV_196	24	17	55	67	50	47	28	23	13	18	35	34	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_282	0	0	0	0	0	0	0	0	0	6	0	0	0	0	20	0	0	0	7	0	0	11	8	0	15	4	0	17	0	17	51	64	29	17	57	14	18	25	19	14	25
DJ_BAC_ASV_149	52	0	0	0	0	0	0	75	0	0	35	0	33	0	51	0	0	0	0	40	43	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	28	32	0	0
DJ_BAC_ASV_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	1	5	5	2	7	9	21	64	41	36	16	13	20	144	42
DJ_BAC_ASV_355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	25	19	16	6	0	3	0	0	30	35	0	42	23	21	36	29	0	41	32	33	29
DJ_BAC_ASV_113	0	0	0	0	0	0	0	0	0	0	0	0	0	14	24	32	17	23	16	16	15	30	30	16	14	8	14	18	27	17	9	16	19	3	7	6	10	8	9	4	8
DJ_BAC_ASV_458	16	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	13	21	18	12	41	18	17	23	19	18	14	14	21	13	16	13	23	8	0	38	21
DJ_BAC_ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	122	115	0	0	37	45	0	0	0	0	21	0	0	0	0	0	0	0	0	13	0	0	9	23	0	20	0	23
HHN_BAC_ASV_213	67	32	0	0	0	0	0	51	23	131	44	22	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_353	0	0	0	0	0	0	0	0	0	0	0	0	0	26	51	42	19	13	38	24	37	13	13	0	0	0	0	9	24	0	0	15	22	7	0	0	0	29	46	0	0
DJ_BAC_ASV_90	0	0	0	0	0	0	0	0	0	1	0	0	0	76	68	56	61	4	9	13	35	6	9	13	1	13	2	0	2	0	3	4	1	2	0	0	0	8	14	6	14
DJ_BAC_ASV_9169	21	52	16	25	17	79	142	14	24	0	6	12	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DJ_BAC_ASV_391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	67	138	0	0	0	0	0	0	0	0	0	13	4	124	0	0	0	0	12	0	23	0
DJ_BAC_ASV_419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0
DJ_BAC_ASV_493	25	20	14	14	26	86	96	13	15	7	20	17	10	10	0	0	9	15	0	0	10	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	5	0	0	0
DJ_BAC_ASV_214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	53	0	0	0	123	138	0	0	0	0	0	0	0	15	0	0	0	68	0	0	0	0	0	0	0	0
DJ_BAC_ASV_103	88	27	0	0	0	0	0	90	41	36	0	15	30	0	40	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
DJ_BAC_ASV_27892	73	50	5	3	0	9	0	86	34	42	42	33	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_144	0	26	23	44	27	28	45	0	0	0	24	28	25	0	52	0	0	54	24	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
HHN_BAC_ASV_470	0	184	4	0	0	0	11	0	188	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DJ_BAC_ASV_521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	8	0	4	43	4	15	4	2	15	0	6	12	15	3	10	9	32	19	33	18	29	61	13	38
