,Kingdom,Phylum,Class,Order,Family,Genus,taxon
ASV_2098,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,Bacteroidota
ASV_2099,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,Planctomycetota
ASV_15751,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
bASV_10379,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,Planctomycetota
bASV_10380,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,Planctomycetota
bASV_10382,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4_lineage,Planctomycetota
ASV_15752,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_32357,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,Gammaproteobacteria
ASV_15753,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales_unclassified,Alteromonadales_unclassified,Gammaproteobacteria
bASV_5525,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,Bdellovibrionota
ASV_32358,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_15754,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
bASV_5528,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Gammaproteobacteria
ASV_15755,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Bacteriovoracaceae_unclassified,Bdellovibrionota
ASV_32359,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_15756,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
ASV_32360,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group_ge,Bacteroidota
ASV_32361,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae_unclassified,Campilobacterota
ASV_2107,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,CI75cm.2.12,Gammaproteobacteria
ASV_32365,Bacteria,Bacteroidota,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidota
ASV_2109,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckiaceae_unclassified,Alphaproteobacteria
ASV_32366,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
ASV_32367,Bacteria,Bacteroidota,Bacteroidota_unclassified,Bacteroidota_unclassified,Bacteroidota_unclassified,Bacteroidota_unclassified,Bacteroidota
ASV_15757,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Candidatus_Thiosymbion,Gammaproteobacteria
ASV_27933,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19_marine_sediment_group,Planctomycetota
ASV_15758,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadales_unclassified,Alteromonadales_unclassified,Gammaproteobacteria
ASV_2112,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,uncultured_ge,Actinobacteriota
ASV_32369,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_15759,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,Verrucomicrobiota
ASV_32370,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionales_unclassified,Cellvibrionales_unclassified,Gammaproteobacteria
ASV_2115,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,Bdellovibrionota
ASV_47061,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_7821,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade_fa,SAR86_clade_ge,Gammaproteobacteria
bASV_6958,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
ASV_12346,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola,Gammaproteobacteria
ASV_7822,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,Bdellovibrionota
ASV_3228,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria
ASV_47062,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,Bdellovibrionota
ASV_7823,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_25420,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,Myxococcota
ASV_7825,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_47064,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified,Alphaproteobacteria
ASV_3232,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified,Alphaproteobacteria
ASV_47065,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonadaceae_unclassified,Gammaproteobacteria
ASV_25421,Bacteria,Planctomycetota,OM190,OM190_or,OM190_fa,OM190_ge,Planctomycetota
ASV_25422,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,Bacteroidota
ASV_47066,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Persicobacter,Bacteroidota
ASV_37971,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group_ge,Alphaproteobacteria
ASV_37972,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
ASV_3234,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Bacteroidota
ASV_47067,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_ge,Alphaproteobacteria
ASV_25424,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcinaceae_unclassified,Desulfobacterota
ASV_37973,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria
ASV_16849,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,Bacteroidota
ASV_7830,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Flammeovirgaceae,Algivirga,Bacteroidota
ASV_3235,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,Acidobacteriota
ASV_12354,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrionaceae_unclassified,Gammaproteobacteria
ASV_47069,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Parvularculaceae_unclassified,Alphaproteobacteria
